"ID","Type","Description","Help","IconAtlas","PortraitIndex","TraitCategoryType","Unique","ScriptName"
0,"PERSONALITY_TRAIT_CHARACTER_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_GROWTH_A_HELP","TRAITS_ATLAS",30,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Growth"
1,"PERSONALITY_TRAIT_CHARACTER_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_EXPAND_A_HELP","TRAITS_ATLAS",32,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Expand"
2,"PERSONALITY_TRAIT_CHARACTER_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_INDUSTRY_A_HELP","TRAITS_ATLAS",33,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Industry"
3,"PERSONALITY_TRAIT_CHARACTER_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_CULTURE_A_HELP","TRAITS_ATLAS",34,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Culture"
4,"PERSONALITY_TRAIT_CHARACTER_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_SCIENCE_A_HELP","TRAITS_ATLAS",31,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Science"
5,"PERSONALITY_TRAIT_CHARACTER_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_WEALTH_A_HELP","TRAITS_ATLAS",36,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Wealth"
6,"PERSONALITY_TRAIT_CHARACTER_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_COMBAT_A_HELP","TRAITS_ATLAS",37,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Combat"
7,"PERSONALITY_TRAIT_CHARACTER_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_TRADE_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_TRADE_A_HELP","TRAITS_ATLAS",38,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Trade"
8,"PERSONALITY_TRAIT_CHARACTER_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_COVERT_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_COVERT_A_HELP","TRAITS_ATLAS",39,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Covert"
9,"PERSONALITY_TRAIT_CHARACTER_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_ORBITAL_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_ORBITAL_A_HELP","TRAITS_ATLAS",40,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Orbital"
10,"PERSONALITY_TRAIT_CHARACTER_AQUATIC_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_AQUATIC_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_AQUATIC_A_HELP","TRAITS_ATLAS",35,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Orbital"
11,"PERSONALITY_TRAIT_CHARACTER_DIPLOMACY_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_DIPLOMACY_A","TXT_KEY_PERSONALITY_TRAIT_CHARACTER_DIPLOMACY_A_HELP","TRAITS_ATLAS",41,"PERSONALITY_TRAIT_CATEGORY_CHARACTER",1,"PersonalityTrait_Character_Orbital"
12,"PERSONALITY_TRAIT_POLITICAL_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_GROWTH_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_GROWTH_A_HELP","TRAITS_ATLAS",1,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Growth"
13,"PERSONALITY_TRAIT_POLITICAL_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_EXPAND_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_EXPAND_A_HELP","TRAITS_ATLAS",4,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Expand"
14,"PERSONALITY_TRAIT_POLITICAL_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_INDUSTRY_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_INDUSTRY_A_HELP","TRAITS_ATLAS",7,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Industry"
15,"PERSONALITY_TRAIT_POLITICAL_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_CULTURE_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_CULTURE_A_HELP","TRAITS_ATLAS",10,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Culture"
16,"PERSONALITY_TRAIT_POLITICAL_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_SCIENCE_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_SCIENCE_A_HELP","TRAITS_ATLAS",13,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Science"
17,"PERSONALITY_TRAIT_POLITICAL_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_WEALTH_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_WEALTH_A_HELP","TRAITS_ATLAS",16,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Wealth"
18,"PERSONALITY_TRAIT_POLITICAL_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_COMBAT_A","TXT_KEY_PERSONALITY_TRAIT_POLITICAL_COMBAT_A_HELP","TRAITS_ATLAS",19,"PERSONALITY_TRAIT_CATEGORY_POLITICAL",0,"PersonalityTrait_Political_Combat"
