
AGREEMENT	ACCEPT	INDIA	HARMONY-TO-HARMONY	1	"Let us gaze into the universal divinity and commune with the mother, in our agreement."
AGREEMENT	PROPOSE	AL-FALAH	HARMONY	1	"This world provides for all, but perhaps you need our help."
CONFRONT	DEFEAT	CHUNGSU	HARMONY-TO-SUPREMACY	1	"You think you have struck us down, but really, you have made us more powerful than you can possibly imagine."
CONFRONT	DIFFERENCE	AFRICAN-UNION	HARMONY	1	"There is nothing greater in this world than harmony, friend. Join us."
CONFRONT	DIFFERENCE	AL-FALAH	HARMONY-TO-PURITY	1	"I do not understand your ways. Why do you ignore the way of this world?"
CONFRONT	DIFFERENCE	AL-FALAH	HARMONY-TO-SUPREMACY	1	"If this is how you exploited Earth, it's no wonder we were forced to leave."
CONFRONT	DIFFERENCE	BRASILIA	PURITY-TO-HARMONY	1	"I don’t trust these aliens, and neither should you. We have no idea what they're capable of."
CONFRONT	DIFFERENCE	BRASILIA	SUPREMACY-TO-HARMONY	1	"These aliens wouldn't save you from plasma-pulse energy detonations. And that's exactly what we should do to all of them."
CONFRONT	DIFFERENCE	INDIA	HARMONY-TO-SUPREMACY	1	"Contemplate the error of your ways, as you worship the fabricated instead of the divine universe."
CONFRONT	DIFFERENCE	POLYSTRALIA	HARMONY-TO-SUPREMACY	1	"What'll it profit you if you gain the world and lose your soul?"
CONFRONT	DIFFERENCE	POLYSTRALIA	PURITY-TO-HARMONY	1	"People are what's important, not these aliens. You can't love an alien, now can you?"
CONFRONT	DIFFERENCE	POLYSTRALIA	PURITY-TO-HARMONY	2	"You sure do like them buggers, don't you?"
CONFRONT	DIFFERENCE	POLYSTRALIA	SUPREMACY-TO-HARMONY	1	"There is no sanctuary, only us and these aliens."
CONFRONT	DIFFERENCE	RUSSIA	HARMONY-TO-PURITY	1	"Everything is different here. You are wrong to think otherwise. Accept the new world."
CONFRONT	DIFFERENCE	RUSSIA	HARMONY-TO-SUPREMACY	1	"I also enjoy technology, but I discovered something greater. Join me in the new world."
CONFRONT	DIFFERENCE	RUSSIA	PURITY-TO-HARMONY	1	"Aliens do not understand your humanity. You will regret losing your heritage."
CONFRONT	DIFFERENCE	RUSSIA	SUPREMACY-TO-HARMONY	1	"This planet is chaotic. The machine will guide it. We need the power of technology to control it."
DISCUSS-AGREEMENTS	AL-FALAH	HARMONY	KIND	1	"This world is a wonder of providence, but we understand if you still need other things."
DISCUSS-AGREEMENTS	AL-FALAH	PURITY-TO-HARMONY	1	"If you'll accept some of the humanity you've lost, we are happy to trade."
DISCUSS-AGREEMENTS	ARC	HARMONY-TO-HARMONY	1	"ARC is a full-service corporation. We've got what plants crave."
DISCUSS-AGREEMENTS	ARC	SUPREMACY-TO-HARMONY	1	"ARC is an equal-opportUnity conglomerate. We will trade with you, despite your beliefs."
DISCUSS-AGREEMENTS	INDIA	HARMONY-TO-HARMONY	DISDAIN	1	"We are all entrusted by the wisdom of the mothers; universally, unequivocably and yet, unevenly. What is the false interpretation?"
DISCUSS-AGREEMENTS	INDIA	HARMONY-TO-HARMONY	NEUTRAL	1	"The Third Mother will guide us to wisdom in our agreement. Let us begin."
DISCUSS-AGREEMENTS	INDIA	HARMONY-TO-PURITY	1	"The isolation of space numbs you to the voice of the Third Mother, but you will hear it in our transaction."
GREETING	AFRICAN-UNION	HARMONY-TO-HARMONY	1	"I'm so glad you've chosen to follow our way of life. This planet will be a new peace amongst all people."
GREETING	HARMONY	1	"Greetings."
GREETING	INDIA	HARMONY-TO-HARMONY	1	"We see you, we are here. We commune."
GREETING	INDIA	HARMONY-TO-HARMONY	AWE	1	"The Lord of the Cosmos moves through us. We worship him in our communion."
GREETING	INDIA	HARMONY-TO-PURITY	HARMONY	KIND	1	"Our brethren… welcome home."
GREETING	INDIA	HARMONY-TO-PURITY	NEUTRAL	1	"The supraconscious is here. Hello, recorder-of-the-past."
GREETING	INDIA	HARMONY-TO-SUPREMACY	DISDAIN	1	"We greet you, Spirit of Artifice. We will listen to the words of the entropic demon."
GREETING	INDIA	HARMONY-TO-SUPREMACY	HATE	1	"The spirit of nihility comes to destroy the third mother in its nothingness. We wonder what it wants…"
GREETING	INDIA	HARMONY-TO-SUPREMACY	NEUTRAL	1	"The Samadhi is one. Hello, recorder-of-the-future."
RELATIONSHIP	INTRO	ARC	PURITY-TO-HARMONY	1	"You're not going to persuade us to join your cause. The 'A' in ARC stands for American, not Alien."
